i,target,point,pair
0,0.000000,0.009371,0.128185
1,0.185129,0.032822,0.157218
2,0.185888,0.032795,0.158086
3,0.201821,0.050385,0.175577
4,0.219272,0.073599,0.200232
5,0.227618,0.073739,0.196209
6,0.230653,0.073644,0.198641
7,0.242640,0.099446,0.270235
8,0.242792,0.092138,0.188051
9,0.242792,0.110500,0.099475
10,0.247800,0.000000,0.000000
11,0.259788,0.165317,0.301905
12,0.260091,0.045009,0.042581
13,0.268816,0.191004,0.238116
14,0.271851,0.122266,0.278309
15,0.272382,0.073762,0.195494
16,0.276176,0.163183,0.141631
17,0.279211,0.107636,0.196842
18,0.279211,0.104978,0.217823
19,0.279211,0.050385,0.175509
20,0.284522,0.129556,0.205779
21,0.286798,0.073728,0.196411
22,0.288316,0.104818,0.221614
23,0.297420,0.073704,0.197228
24,0.298938,0.050384,0.175444
25,0.316388,0.104787,0.222599
26,0.317147,0.073680,0.197917
27,0.319423,0.073704,0.197148
28,0.319423,0.146193,0.250473
29,0.323445,0.122799,0.280821
30,0.324734,0.104758,0.223551
31,0.327769,0.146274,0.247982
32,0.330046,0.146110,0.251643
33,0.333080,0.104819,0.221547
34,0.333839,0.126107,0.256344
35,0.333839,0.126107,0.256344
36,0.337633,0.097379,0.229383
37,0.348255,0.134378,0.206203
38,0.349014,0.136723,0.235152
39,0.350531,0.242954,0.254759
40,0.352049,0.109702,0.288315
41,0.352049,0.269114,0.303941
42,0.357360,0.184729,0.305375
43,0.376555,0.107417,0.284884
44,0.377845,0.332810,0.368372
45,0.380121,0.160507,0.223542
46,0.381639,0.160501,0.223521
47,0.381639,0.228737,0.272950
48,0.381639,0.146068,0.252768
49,0.382398,0.270039,0.323672
50,0.385205,0.223874,0.316836
51,0.386191,0.126214,0.253012
52,0.387709,0.244772,0.328304
53,0.389226,0.146171,0.250430
54,0.395296,0.270205,0.320253
55,0.398331,0.316087,0.322266
56,0.398331,0.164929,0.262857
57,0.399090,0.305255,0.314434
58,0.399090,0.305255,0.314434
59,0.400835,0.119459,0.244535
60,0.402049,0.246420,0.327833
61,0.402807,0.107178,0.282804
62,0.402883,0.200530,0.282738
63,0.405918,0.200398,0.285631
64,0.409712,0.199392,0.289817
65,0.413961,0.158620,0.319718
66,0.414264,0.200478,0.284240
67,0.415478,0.360565,0.387912
68,0.418058,0.336529,0.369338
69,0.418816,0.361048,0.306939
70,0.422989,0.184161,0.311517
71,0.424127,0.200399,0.285657
72,0.433232,0.269540,0.296378
73,0.433536,0.271663,0.340124
74,0.433991,0.389580,0.306221
75,0.436267,0.269545,0.298287
76,0.437026,0.269335,0.302056
77,0.437026,0.197895,0.293613
78,0.437102,0.227111,0.342048
79,0.438543,0.215170,0.331616
80,0.443703,0.198649,0.321979
81,0.444917,0.254728,0.343536
82,0.446131,0.358579,0.379304
83,0.449165,0.321619,0.370017
84,0.449924,0.309191,0.348850
85,0.450228,0.125000,0.261236
86,0.450683,0.300171,0.395821
87,0.451442,0.239378,0.302293
88,0.452200,0.299508,0.349051
89,0.452200,0.147736,0.257807
90,0.454249,0.435509,0.482826
91,0.455235,0.334912,0.330524
92,0.458270,0.312521,0.353219
93,0.459788,0.395393,0.394652
94,0.460546,0.321616,0.369923
95,0.462064,0.331713,0.288959
96,0.465099,0.414486,0.416061
97,0.465857,0.197160,0.309837
98,0.465857,0.260615,0.354925
99,0.471775,0.266089,0.337886
100,0.472686,0.261547,0.384709
101,0.473445,0.353574,0.365124
102,0.478528,0.288397,0.433857
103,0.479211,0.275787,0.379141
104,0.479514,0.270137,0.321990
105,0.480273,0.270236,0.320307
106,0.481032,0.316330,0.320250
107,0.482549,0.147495,0.302642
108,0.482549,0.453227,0.351622
109,0.483080,0.316781,0.359743
110,0.483308,0.349476,0.376281
111,0.484825,0.331793,0.325005
112,0.484825,0.270239,0.320424
113,0.486343,0.335153,0.371994
114,0.486798,0.293673,0.401105
115,0.487860,0.324572,0.378518
116,0.488619,0.368904,0.373505
117,0.488619,0.484932,0.378803
118,0.489150,0.372308,0.370645
119,0.490137,0.153643,0.291003
120,0.492033,0.083276,0.277991
121,0.494689,0.483429,0.373410
122,0.495372,0.331646,0.369038
123,0.496206,0.345742,0.300383
124,0.496965,0.491987,0.369376
125,0.496965,0.389548,0.331558
126,0.498483,0.343108,0.348474
127,0.498483,0.271165,0.414614
128,0.504173,0.332486,0.467467
129,0.506070,0.194793,0.324676
130,0.506829,0.444126,0.431069
131,0.507815,0.367039,0.385711
132,0.508346,0.382552,0.433276
133,0.509105,0.381461,0.390843
134,0.509105,0.313590,0.388534
135,0.509863,0.369662,0.448125
136,0.509863,0.264572,0.380969
137,0.509863,0.355970,0.365858
138,0.510546,0.348511,0.351075
139,0.511229,0.498851,0.422494
140,0.511381,0.312645,0.355086
141,0.515175,0.400449,0.343392
142,0.515933,0.280566,0.365034
143,0.515933,0.283152,0.384117
144,0.515933,0.543397,0.423586
145,0.518209,0.264059,0.379160
146,0.519347,0.388501,0.410859
147,0.520486,0.488449,0.396459
148,0.520486,0.562463,0.418557
149,0.521244,0.338947,0.396234
150,0.522003,0.381672,0.383578
151,0.522762,0.243674,0.343436
152,0.522762,0.302425,0.397022
153,0.523520,0.288745,0.355552
154,0.523520,0.318442,0.405628
155,0.524279,0.274336,0.413140
156,0.524279,0.376737,0.482165
157,0.525114,0.381977,0.381635
158,0.525190,0.299958,0.353824
159,0.526555,0.470945,0.425635
160,0.528073,0.222709,0.375800
161,0.528073,0.389623,0.366358
162,0.528832,0.296538,0.401915
163,0.528832,0.312522,0.353420
164,0.529590,0.347284,0.369887
165,0.529590,0.396099,0.389518
166,0.531866,0.465851,0.460184
167,0.533384,0.312695,0.349284
168,0.533384,0.465103,0.436409
169,0.533384,0.360732,0.438837
170,0.534143,0.450077,0.412587
171,0.534598,0.399574,0.391873
172,0.534901,0.623919,0.527057
173,0.534901,0.369910,0.358601
174,0.535660,0.356083,0.363922
175,0.536419,0.226870,0.342199
176,0.536419,0.521388,0.401507
177,0.537026,0.376945,0.362514
178,0.538695,0.335177,0.327540
179,0.540212,0.402834,0.414309
180,0.540971,0.411134,0.403328
181,0.540971,0.529526,0.426058
182,0.541730,0.219202,0.350743
183,0.543247,0.453218,0.378642
184,0.543854,0.322931,0.372775
185,0.544006,0.252948,0.374826
186,0.544006,0.405035,0.345715
187,0.544006,0.535860,0.484021
188,0.544765,0.291450,0.384999
189,0.545448,0.431268,0.417742
190,0.546282,0.283921,0.387627
191,0.546282,0.373793,0.363232
192,0.546282,0.373793,0.363232
193,0.548558,0.402065,0.446955
194,0.548558,0.373309,0.449396
195,0.549317,0.602013,0.448110
196,0.549317,0.628367,0.464900
197,0.550076,0.374078,0.359543
198,0.550455,0.456237,0.414148
199,0.552807,0.320051,0.413083
200,0.553111,0.515795,0.434402
201,0.553869,0.525399,0.428285
202,0.553869,0.243829,0.376999
203,0.554628,0.377780,0.369072
204,0.554628,0.381720,0.386074
205,0.554932,0.298987,0.432795
206,0.555387,0.585164,0.453364
207,0.555387,0.255918,0.362703
208,0.556904,0.586161,0.447660
209,0.556904,0.497829,0.466361
210,0.557663,0.493124,0.400220
211,0.558422,0.449220,0.385529
212,0.558422,0.308016,0.373580
213,0.559181,0.600734,0.453490
214,0.559181,0.393495,0.452557
215,0.559939,0.387241,0.447365
216,0.560698,0.373580,0.431151
217,0.560698,0.325463,0.399263
218,0.560926,0.404809,0.397668
219,0.561457,0.325545,0.360105
220,0.561912,0.299642,0.369465
221,0.562215,0.210527,0.375004
222,0.563733,0.378044,0.364426
223,0.564492,0.374533,0.414705
224,0.564492,0.430627,0.391301
225,0.565250,0.464743,0.373074
226,0.565250,0.462819,0.404219
227,0.566009,0.381977,0.381636
228,0.566009,0.399213,0.388759
229,0.566768,0.391359,0.440402
230,0.567527,0.484695,0.431686
231,0.567982,0.386118,0.348027
232,0.568285,0.453172,0.479733
233,0.569044,0.312294,0.442563
234,0.569044,0.510871,0.469477
235,0.569120,0.394349,0.435289
236,0.569272,0.462738,0.449388
237,0.570486,0.306607,0.440795
238,0.570561,0.404190,0.409295
239,0.571320,0.454471,0.413857
240,0.572079,0.453654,0.411842
241,0.572079,0.521194,0.469108
242,0.573141,0.427387,0.427019
243,0.573596,0.552038,0.459948
244,0.574355,0.476708,0.443339
245,0.575114,0.331879,0.433232
246,0.575114,0.312634,0.401358
247,0.576631,0.429430,0.386336
248,0.576631,0.403249,0.404560
249,0.576631,0.523751,0.467263
250,0.576631,0.404824,0.416201
251,0.576707,0.310228,0.406641
252,0.579666,0.451645,0.483587
253,0.580197,0.278290,0.394115
254,0.580273,0.434336,0.413155
255,0.581942,0.399464,0.384684
256,0.582094,0.371161,0.393559
257,0.582170,0.373342,0.442507
258,0.582398,0.462895,0.471362
259,0.584219,0.585286,0.471328
260,0.584219,0.407749,0.457226
261,0.584522,0.170340,0.364473
262,0.584750,0.284115,0.379685
263,0.588012,0.562681,0.446958
264,0.588012,0.400252,0.493844
265,0.588012,0.578739,0.505118
266,0.588771,0.591840,0.455598
267,0.588771,0.246150,0.356221
268,0.590288,0.470664,0.428096
269,0.590516,0.331123,0.411940
270,0.591047,0.292411,0.333592
271,0.591047,0.517151,0.443218
272,0.591047,0.469557,0.395565
273,0.591806,0.365555,0.478267
274,0.591806,0.425953,0.463688
275,0.592109,0.445136,0.403302
276,0.592109,0.417751,0.362295
277,0.592564,0.316725,0.371223
278,0.592944,0.481493,0.449561
279,0.594082,0.481273,0.440755
280,0.594082,0.441546,0.416500
281,0.594841,0.481519,0.432350
282,0.594841,0.372746,0.442967
283,0.595296,0.362221,0.348205
284,0.595599,0.455221,0.427342
285,0.596358,0.624971,0.479362
286,0.597117,0.521387,0.430168
287,0.597117,0.310251,0.343810
288,0.599393,0.441822,0.411573
289,0.600910,0.352428,0.383422
290,0.600910,0.375104,0.457288
291,0.600910,0.497278,0.506162
292,0.600910,0.626659,0.485049
293,0.601669,0.368666,0.417658
294,0.601669,0.378200,0.429688
295,0.602428,0.517811,0.435865
296,0.602428,0.516909,0.425744
297,0.603187,0.655563,0.503778
298,0.603945,0.441598,0.417793
299,0.604704,0.388473,0.450633
300,0.604704,0.481297,0.444658
301,0.606222,0.462484,0.479342
302,0.606677,0.359266,0.370502
303,0.606980,0.506682,0.444099
304,0.607587,0.488035,0.483371
305,0.607739,0.403040,0.409404
306,0.607739,0.468403,0.481947
307,0.607739,0.430355,0.466052
308,0.609256,0.275982,0.382895
309,0.610774,0.476710,0.443170
310,0.610774,0.674188,0.503947
311,0.611533,0.476317,0.481529
312,0.611533,0.477026,0.438770
313,0.611533,0.454473,0.413696
314,0.611836,0.464811,0.485796
315,0.612291,0.375888,0.469460
316,0.613050,0.554798,0.500796
317,0.613809,0.529228,0.419228
318,0.614568,0.454799,0.410304
319,0.614643,0.371635,0.362682
320,0.615857,0.467198,0.492190
321,0.616085,0.481239,0.477051
322,0.616085,0.474552,0.490945
323,0.618361,0.330704,0.435856
324,0.619879,0.568300,0.547793
325,0.619879,0.416184,0.480538
326,0.620637,0.500741,0.451329
327,0.621548,0.543045,0.500542
328,0.622155,0.346280,0.454416
329,0.622155,0.531630,0.508572
330,0.622914,0.389321,0.439833
331,0.622914,0.660705,0.555609
332,0.622914,0.424967,0.516740
333,0.623672,0.437094,0.520793
334,0.623672,0.442195,0.485502
335,0.623672,0.453457,0.445478
336,0.624431,0.333517,0.418513
337,0.624431,0.540387,0.508364
338,0.624431,0.522890,0.461503
339,0.624886,0.722429,0.517522
340,0.625190,0.433558,0.412376
341,0.625948,0.470189,0.382144
342,0.627466,0.471679,0.482031
343,0.627921,0.405513,0.366214
344,0.628983,0.531863,0.500201
345,0.629742,0.630203,0.498018
346,0.629742,0.424671,0.426139
347,0.631259,0.455459,0.418864
348,0.632018,0.615764,0.540636
349,0.632018,0.548387,0.470312
350,0.632018,0.509140,0.474687
351,0.632018,0.356378,0.359654
352,0.632777,0.335631,0.450424
353,0.634294,0.518988,0.478732
354,0.634294,0.379648,0.475807
355,0.634370,0.613597,0.490142
356,0.635053,0.591822,0.485779
357,0.635508,0.448746,0.482894
358,0.635812,0.560254,0.467662
359,0.636571,0.481299,0.444487
360,0.636571,0.526569,0.474003
361,0.637329,0.474420,0.492208
362,0.637329,0.532101,0.491714
363,0.638088,0.481587,0.439905
364,0.638088,0.525581,0.477791
365,0.638847,0.519046,0.482185
366,0.638847,0.661387,0.513091
367,0.638847,0.454909,0.484650
368,0.638847,0.694683,0.537414
369,0.639605,0.502902,0.562207
370,0.641123,0.577835,0.486020
371,0.641123,0.333597,0.417206
372,0.641882,0.483804,0.470395
373,0.642640,0.604152,0.518944
374,0.642868,0.492976,0.475682
375,0.643399,0.496023,0.438461
376,0.644158,0.421401,0.467376
377,0.644158,0.526326,0.482925
378,0.644917,0.660752,0.554721
379,0.644917,0.595831,0.469125
380,0.644917,0.333518,0.418570
381,0.645599,0.543209,0.526201
382,0.645675,0.417180,0.486787
383,0.646206,0.529732,0.539000
384,0.646282,0.476398,0.512345
385,0.646434,0.554559,0.508390
386,0.646434,0.537519,0.449661
387,0.648710,0.509376,0.468843
388,0.649469,0.551870,0.489846
389,0.649469,0.509142,0.474504
390,0.649469,0.625844,0.636157
391,0.650228,0.656863,0.520098
392,0.650228,0.500017,0.484890
393,0.650228,0.631742,0.493209
394,0.650379,0.406694,0.480470
395,0.651745,0.589531,0.490427
396,0.651745,0.451870,0.498913
397,0.651745,0.590253,0.508124
398,0.652504,0.577522,0.527728
