i,target,point,pair
0,0.000000,0.073203,0.000000
1,0.380508,0.190458,0.014646
2,0.406273,0.073194,0.081883
3,0.435773,0.049950,0.136469
4,0.470874,0.058270,0.181722
5,0.471247,0.104418,0.127571
6,0.484690,0.090148,0.137890
7,0.502240,0.104416,0.105523
8,0.505601,0.237281,0.176733
9,0.508588,0.237030,0.162510
10,0.510829,0.058275,0.092032
11,0.513816,0.058236,0.126801
12,0.514563,0.073241,0.099009
13,0.515310,0.090143,0.127518
14,0.517550,0.067523,0.217581
15,0.519417,0.306901,0.108750
16,0.521658,0.104416,0.105473
17,0.522778,0.090148,0.137823
18,0.526512,0.104422,0.126886
19,0.526886,0.078047,0.121374
20,0.530993,0.020409,0.085145
21,0.530993,0.237035,0.128346
22,0.532114,0.058327,0.139468
23,0.534354,0.132640,0.163513
24,0.534727,0.306810,0.040452
25,0.534727,0.705972,0.025250
26,0.535101,0.078040,0.217257
27,0.535474,0.306969,0.190059
28,0.538462,0.067571,0.130206
29,0.541075,0.067571,0.109584
30,0.551904,0.090143,0.127455
31,0.551904,0.046618,0.114423
32,0.552278,0.104425,0.126952
33,0.556385,0.050060,0.149547
34,0.557132,0.132704,0.134385
35,0.557879,0.042417,0.109954
36,0.567588,0.020464,0.170734
37,0.573562,0.104420,0.174645
38,0.575429,0.023589,0.166441
39,0.576550,0.157373,0.134027
40,0.577670,0.021196,0.088706
41,0.584018,0.000002,0.092685
42,0.590366,0.237028,0.242450
43,0.591486,0.049953,0.105669
44,0.591486,0.058289,0.172569
45,0.595967,0.104425,0.189000
46,0.597461,0.104420,0.175166
47,0.601942,0.084548,0.150421
48,0.602689,0.104425,0.174651
49,0.606796,0.090141,0.128532
50,0.609783,0.104425,0.174547
51,0.609783,0.104429,0.227089
52,0.613518,0.035653,0.128209
53,0.616878,0.121722,0.187323
54,0.617999,0.013185,0.125664
55,0.619492,0.121734,0.231206
56,0.620612,0.121722,0.187908
57,0.620612,0.042479,0.187155
58,0.622106,0.078050,0.161293
59,0.623600,0.090214,0.258135
60,0.625093,0.058277,0.218158
61,0.628454,0.104425,0.231882
62,0.628454,0.104457,0.242827
63,0.629948,0.121715,0.152554
64,0.630321,0.023598,0.143690
65,0.631068,0.157352,0.174753
66,0.632188,0.306908,0.121096
67,0.632188,0.190412,0.178657
68,0.634802,0.121734,0.231064
69,0.634802,0.121727,0.230416
70,0.634802,0.236974,0.165290
71,0.635549,0.143421,0.235925
72,0.637416,0.236971,0.188768
73,0.639283,0.104418,0.237099
74,0.639283,0.023650,0.167107
75,0.640777,0.237035,0.139856
76,0.641524,0.058234,0.167105
77,0.643017,0.157350,0.190977
78,0.643017,0.097676,0.162990
79,0.644884,0.190449,0.153062
80,0.645258,0.097624,0.192275
81,0.647872,0.104418,0.235236
82,0.648618,0.132651,0.202653
83,0.648618,0.104434,0.254345
84,0.649365,0.029275,0.121451
85,0.650112,0.132644,0.175883
86,0.650485,0.121743,0.209475
87,0.650859,0.121725,0.242798
88,0.651979,0.157361,0.164590
89,0.651979,0.104418,0.239160
90,0.653099,0.104434,0.254502
91,0.653099,0.121725,0.235168
92,0.653473,0.104425,0.176350
93,0.654220,0.021264,0.156341
94,0.654593,0.157382,0.167522
95,0.657207,0.121715,0.152999
96,0.657580,0.104418,0.237528
97,0.657954,0.084505,0.206744
98,0.658327,0.132642,0.175263
99,0.660194,0.104425,0.191196
100,0.661314,0.104418,0.237522
101,0.661314,0.078054,0.269713
102,0.661688,0.121731,0.213474
103,0.661688,0.121725,0.237273
104,0.663555,0.121738,0.218822
105,0.664675,0.121731,0.213338
106,0.665422,0.090148,0.192993
107,0.668036,0.097654,0.246717
108,0.668036,0.097688,0.247838
109,0.668036,0.113345,0.214456
110,0.668783,0.073244,0.220711
111,0.670650,0.104434,0.256671
112,0.670650,0.004010,0.105370
113,0.674010,0.121722,0.217017
114,0.675504,0.121722,0.218667
115,0.676998,0.121725,0.235019
116,0.676998,0.143417,0.217501
117,0.682972,0.090170,0.481708
118,0.682972,0.067564,0.295909
119,0.683719,0.113332,0.269052
120,0.684466,0.121725,0.244263
121,0.685586,0.104418,0.239693
122,0.685586,0.067578,0.224287
123,0.686706,0.050112,0.293991
124,0.687080,0.049871,0.366711
125,0.687080,0.121734,0.362342
126,0.687453,0.090182,0.270394
127,0.687453,0.104418,0.220872
128,0.691561,0.157487,0.121308
129,0.691561,0.705969,0.216295
130,0.693801,0.023557,0.123360
131,0.694175,0.306801,0.243563
132,0.695295,0.424864,0.257762
133,0.696415,0.097599,0.210701
134,0.697162,0.084491,0.259192
135,0.697909,0.143430,0.367888
136,0.698656,0.121731,0.213905
137,0.698656,0.143514,0.246958
138,0.700149,0.237308,0.189565
139,0.700149,0.190628,0.146786
140,0.700523,0.121734,0.362413
141,0.700896,0.306808,0.281907
142,0.701270,0.121736,0.358526
143,0.701270,0.190415,0.360594
144,0.702016,0.121734,0.365105
145,0.702763,0.084530,0.262398
146,0.703510,0.084505,0.191668
147,0.703883,0.143430,0.366631
148,0.705004,0.306912,0.294972
149,0.705377,0.121734,0.391464
150,0.705751,0.236969,0.301351
151,0.705751,0.121734,0.361441
152,0.706124,0.090145,0.317735
153,0.706497,0.090134,0.369428
154,0.706871,0.121720,0.266776
155,0.706871,0.171782,0.377149
156,0.707244,0.104425,0.128134
157,0.709111,0.143430,0.369761
158,0.709485,0.237044,0.295661
159,0.709858,0.010344,0.441064
160,0.710605,0.121734,0.364373
161,0.710605,0.113375,0.291523
