i,target,point,pair
0,0.000000,0.218951,0.312037
1,0.003333,0.325343,0.428838
2,0.008333,0.362584,0.372732
3,0.013333,0.066185,0.136901
4,0.013333,0.313801,0.356127
5,0.015000,0.516816,0.569051
6,0.016667,0.349028,0.231203
7,0.023333,0.184830,0.177320
8,0.026667,0.429045,0.317659
9,0.028333,0.480152,0.388187
10,0.031667,0.501367,0.430910
11,0.035000,0.474054,0.492837
12,0.036667,0.254706,0.414605
13,0.038333,0.434186,0.448290
14,0.041667,0.117274,0.287593
15,0.050000,0.291734,0.315715
16,0.050000,0.500639,0.456076
17,0.053333,0.454600,0.444982
18,0.055000,0.668004,0.454453
19,0.055000,0.270320,0.352702
20,0.058333,0.356365,0.377020
21,0.066667,0.358302,0.434751
22,0.066667,0.396401,0.350348
23,0.070000,0.133319,0.300714
24,0.070000,0.644461,0.503145
25,0.070000,0.482497,0.422601
26,0.070000,0.291720,0.348335
27,0.073333,0.230330,0.274810
28,0.076667,0.512764,0.467375
29,0.078333,0.369980,0.537491
30,0.080000,0.380079,0.395250
31,0.080000,0.362127,0.409841
32,0.081667,0.713664,0.448793
33,0.083333,0.386464,0.360189
34,0.085000,0.753476,0.712057
35,0.086667,0.715577,0.414181
36,0.086667,0.434023,0.477099
37,0.086667,0.866783,0.803570
38,0.088333,0.333071,0.369975
39,0.090000,0.324137,0.397970
40,0.090000,0.446415,0.263331
41,0.090000,0.436660,0.497140
42,0.091667,0.586246,0.468924
43,0.093333,0.303708,0.374615
44,0.093333,0.117153,0.192820
45,0.095000,0.372513,0.437281
46,0.096667,0.303797,0.366137
47,0.096667,0.547801,0.420748
48,0.096667,0.514562,0.385022
49,0.098333,0.930431,0.679338
50,0.100000,0.383853,0.338693
51,0.101667,0.699657,0.609007
52,0.103333,0.776678,0.719071
53,0.103333,0.959668,0.726124
54,0.105000,0.602797,0.465584
55,0.105000,0.311091,0.395600
56,0.105000,0.286569,0.446743
57,0.105000,0.402667,0.397158
58,0.105000,0.669593,0.617017
59,0.110000,0.583989,0.487366
60,0.110000,0.658704,0.422312
61,0.110000,0.484093,0.442231
62,0.110000,0.299906,0.298465
63,0.111667,0.330104,0.346112
64,0.113333,0.574420,0.438330
65,0.113333,0.357322,0.523407
66,0.113333,0.455634,0.525685
67,0.115000,0.756162,0.498019
68,0.116667,0.600396,0.481219
69,0.116667,0.310949,0.371815
70,0.118333,0.788811,0.709836
71,0.120000,0.116923,0.150635
72,0.120000,0.508439,0.395973
73,0.123333,0.265797,0.173530
74,0.125000,0.531574,0.435425
75,0.128333,0.489684,0.440522
76,0.130000,0.282569,0.347578
77,0.131667,0.222015,0.339258
