i,target,point,point2,pair
0,0.000000,0.217686,0.024435,0.010158
1,0.185129,0.239136,0.033030,0.083205
2,0.185888,0.238608,0.033720,0.073792
3,0.201821,0.257615,0.042458,0.116223
4,0.219272,0.287050,0.054204,0.149550
5,0.227618,0.273740,0.051647,0.161534
6,0.230653,0.285864,0.051032,0.157611
7,0.242640,0.398347,0.179670,0.382351
8,0.242792,0.328562,0.074950,0.202474
9,0.242792,0.277123,0.031672,0.131402
10,0.247800,0.206904,0.000000,0.000000
11,0.259788,0.399491,0.210075,0.383028
12,0.260091,0.236114,0.012443,0.065776
13,0.268816,0.363701,0.099948,0.296011
14,0.271851,0.401654,0.182009,0.383579
15,0.272382,0.274841,0.049835,0.168361
16,0.276176,0.309713,0.049416,0.174457
17,0.279211,0.300109,0.046608,0.199505
18,0.279211,0.319130,0.080715,0.219873
19,0.279211,0.259658,0.042531,0.119907
20,0.284522,0.311259,0.054459,0.217726
21,0.286798,0.284932,0.051752,0.167166
22,0.288316,0.311214,0.067173,0.208322
23,0.297420,0.281236,0.052183,0.158567
24,0.298938,0.253598,0.040457,0.121019
25,0.316388,0.307156,0.067292,0.201062
26,0.317147,0.278806,0.052619,0.153847
27,0.319423,0.283641,0.052413,0.162252
28,0.319423,0.334421,0.089975,0.245573
29,0.323445,0.403942,0.192186,0.386009
30,0.324734,0.307317,0.068984,0.196407
31,0.327769,0.337425,0.089078,0.258437
32,0.330046,0.355619,0.092694,0.251738
33,0.333080,0.308373,0.066382,0.206909
34,0.333839,0.375647,0.096020,0.293824
35,0.333839,0.375647,0.096020,0.293824
36,0.337633,0.334227,0.075884,0.227826
37,0.348255,0.339724,0.070095,0.270685
38,0.349014,0.380074,0.106047,0.245740
39,0.350531,0.446060,0.169175,0.164214
40,0.352049,0.394307,0.131978,0.297190
41,0.352049,0.429181,0.172453,0.352907
42,0.357360,0.490647,0.302537,0.419233
43,0.376555,0.391481,0.127203,0.271452
44,0.377845,0.494189,0.244522,0.329045
45,0.380121,0.350430,0.081043,0.277158
46,0.381639,0.349570,0.080943,0.278982
47,0.381639,0.416876,0.143105,0.354802
48,0.381639,0.354227,0.093910,0.246716
49,0.382398,0.465930,0.221329,0.362854
50,0.385205,0.423988,0.169939,0.361080
51,0.386191,0.369045,0.097938,0.296774
52,0.387709,0.450084,0.215162,0.368723
53,0.389226,0.344117,0.090992,0.250705
54,0.395296,0.464262,0.224199,0.369376
55,0.398331,0.460991,0.232021,0.382174
56,0.398331,0.410642,0.128379,0.270428
57,0.399090,0.491861,0.256328,0.393634
58,0.399090,0.491861,0.256328,0.393634
59,0.400835,0.395080,0.215735,0.304214
60,0.402049,0.441469,0.192705,0.378321
61,0.402807,0.412399,0.192518,0.386349
62,0.402883,0.395289,0.135960,0.309427
63,0.405918,0.403689,0.139057,0.301652
64,0.409712,0.370843,0.126931,0.315680
65,0.413961,0.442227,0.189743,0.340473
66,0.414264,0.393805,0.133157,0.303494
67,0.415478,0.453177,0.306967,0.389526
68,0.418058,0.499698,0.246407,0.337131
69,0.418816,0.432491,0.170195,0.366310
70,0.422989,0.473833,0.268152,0.433240
71,0.424127,0.403590,0.139253,0.299778
72,0.433232,0.436660,0.179536,0.367981
73,0.433536,0.461090,0.219654,0.395687
74,0.433991,0.452764,0.166194,0.330862
75,0.436267,0.430476,0.175462,0.363004
76,0.437026,0.427796,0.171377,0.355121
77,0.437026,0.444184,0.157481,0.297536
78,0.437102,0.481520,0.222641,0.403145
79,0.438543,0.438793,0.208815,0.295818
80,0.443703,0.505518,0.245637,0.376742
