i,target,point,pair
0,0.000000,0.421938,0.396917
1,0.003333,0.490364,0.426735
2,0.008333,0.350851,0.276980
3,0.013333,0.389125,0.201805
4,0.013333,0.423508,0.339441
5,0.015000,0.387035,0.456068
6,0.016667,0.465516,0.290437
7,0.023333,0.275552,0.197955
8,0.026667,0.509636,0.457130
9,0.028333,0.441667,0.484503
10,0.031667,0.317041,0.005233
11,0.035000,0.524376,0.503631
12,0.036667,0.354374,0.457793
13,0.038333,0.400104,0.427640
14,0.041667,0.399587,0.269451
15,0.050000,0.418471,0.355463
16,0.050000,0.477207,0.319257
17,0.053333,0.334555,0.050841
18,0.055000,0.327590,0.150858
19,0.055000,0.368891,0.267462
20,0.058333,0.453738,0.234709
21,0.066667,0.342469,0.195902
22,0.066667,0.337960,0.392032
23,0.070000,0.361328,0.284729
24,0.070000,0.355674,0.405097
25,0.070000,0.338961,0.235857
26,0.070000,0.342413,0.205121
27,0.073333,0.316332,0.161859
28,0.076667,0.347439,0.383056
29,0.078333,0.358307,0.362228
30,0.080000,0.346293,0.323988
31,0.080000,0.370758,0.281994
32,0.081667,0.433099,0.419378
33,0.083333,0.422486,0.199416
34,0.085000,0.426926,0.454324
35,0.086667,0.551223,0.479499
36,0.086667,0.346322,0.289149
37,0.086667,0.442681,0.480606
38,0.088333,0.441596,0.254301
39,0.090000,0.462882,0.365277
40,0.090000,0.534597,0.574505
41,0.090000,0.347097,0.191854
42,0.091667,0.478805,0.370558
43,0.093333,0.347518,0.384641
44,0.093333,0.335535,0.263640
45,0.095000,0.446957,0.407303
46,0.096667,0.328768,0.162151
47,0.096667,0.338903,0.269840
48,0.096667,0.441273,0.359923
49,0.098333,0.679847,0.619855
50,0.100000,0.390332,0.260744
51,0.101667,0.449457,0.514008
52,0.103333,0.433595,0.470207
53,0.103333,0.675391,0.795515
54,0.105000,0.344770,0.253124
55,0.105000,0.340845,0.181420
56,0.105000,0.358961,0.531275
57,0.105000,0.364841,0.336580
58,0.105000,0.422036,0.501311
59,0.110000,0.337874,0.357715
60,0.110000,0.473008,0.297882
61,0.110000,0.614346,0.491344
62,0.110000,0.399664,0.333052
63,0.111667,0.337432,0.178371
64,0.113333,0.545233,0.554022
65,0.113333,0.366390,0.377797
66,0.113333,0.350040,0.200222
67,0.115000,0.336544,0.231148
68,0.116667,0.372168,0.382079
69,0.116667,0.634445,0.517120
70,0.118333,0.445168,0.493387
71,0.120000,0.349002,0.319789
72,0.120000,0.340511,0.249448
73,0.123333,0.419343,0.493563
74,0.125000,0.336296,0.233808
75,0.128333,0.398129,0.322071
76,0.130000,0.425531,0.453687
77,0.131667,0.477322,0.278787
78,0.131667,0.349374,0.384284
79,0.133333,0.378317,0.511533
80,0.133333,0.349103,0.287737
81,0.133333,0.316683,0.106266
82,0.135000,0.338424,0.271120
83,0.135000,0.698403,0.582869
84,0.140000,0.506947,0.490768
85,0.140000,0.355446,0.310357
86,0.141667,0.465411,0.420291
87,0.141667,0.342688,0.274447
88,0.141667,0.401162,0.328013
89,0.145000,0.416697,0.520648
90,0.146667,0.433233,0.463153
91,0.150000,0.311151,0.145698
92,0.151667,0.338190,0.266763
93,0.153333,0.539372,0.213602
94,0.153333,0.416871,0.301029
95,0.153333,0.336262,0.327051
96,0.155000,0.520832,0.358742
97,0.156667,0.421159,0.390201
98,0.158333,0.468900,0.486099
99,0.158333,0.366188,0.402038
100,0.160000,0.511320,0.474879
101,0.160000,0.438924,0.372360
