i,target,point,pair
0,0.000000,0.160752,0.000000
1,0.380508,0.343507,0.014646
2,0.406273,0.569685,0.081883
3,0.435773,0.576839,0.136469
4,0.470874,0.595303,0.181722
5,0.471247,0.580610,0.127571
6,0.484690,0.584900,0.137890
7,0.502240,0.581144,0.105523
8,0.505601,0.592024,0.176733
9,0.508588,0.591783,0.162510
10,0.510829,0.570544,0.092032
11,0.513816,0.577372,0.126801
12,0.514563,0.564350,0.099009
13,0.515310,0.581789,0.127518
14,0.517550,0.610038,0.217581
15,0.519417,0.554332,0.108750
16,0.521658,0.581144,0.105473
17,0.522778,0.584900,0.137823
18,0.526512,0.586757,0.126886
19,0.526886,0.580924,0.121374
20,0.530993,0.566263,0.085145
21,0.530993,0.572308,0.128346
22,0.532114,0.583601,0.139468
23,0.534354,0.607443,0.163513
24,0.534727,0.523362,0.040452
25,0.534727,0.497945,0.025250
26,0.535101,0.606485,0.217257
27,0.535474,0.581672,0.190059
28,0.538462,0.582246,0.130206
29,0.541075,0.570535,0.109584
30,0.551904,0.581789,0.127455
31,0.551904,0.585575,0.114423
32,0.552278,0.586757,0.126952
33,0.556385,0.585031,0.149547
34,0.557132,0.588513,0.134385
35,0.557879,0.574194,0.109954
36,0.567588,0.582224,0.170734
37,0.573562,0.602390,0.174645
38,0.575429,0.600539,0.166441
39,0.576550,0.592601,0.134027
40,0.577670,0.566973,0.088706
41,0.584018,0.565231,0.092685
42,0.590366,0.638138,0.242450
43,0.591486,0.575264,0.105669
44,0.591486,0.585314,0.172569
45,0.595967,0.614576,0.189000
46,0.597461,0.602390,0.175166
47,0.601942,0.595766,0.150421
48,0.602689,0.607609,0.174651
49,0.606796,0.581763,0.128532
50,0.609783,0.607608,0.174547
51,0.609783,0.620438,0.227089
52,0.613518,0.569571,0.128209
53,0.616878,0.604608,0.187323
54,0.617999,0.572762,0.125664
55,0.619492,0.625680,0.231206
56,0.620612,0.604608,0.187908
57,0.620612,0.606386,0.187155
58,0.622106,0.601430,0.161293
59,0.623600,0.645962,0.258135
60,0.625093,0.600437,0.218158
61,0.628454,0.630851,0.231882
62,0.628454,0.640924,0.242827
63,0.629948,0.595153,0.152554
64,0.630321,0.570372,0.143690
65,0.631068,0.614005,0.174753
66,0.632188,0.576821,0.121096
67,0.632188,0.627674,0.178657
68,0.634802,0.625680,0.231064
69,0.634802,0.635935,0.230416
70,0.634802,0.615253,0.165290
71,0.635549,0.630925,0.235925
72,0.637416,0.630995,0.188768
73,0.639283,0.642801,0.237099
74,0.639283,0.575613,0.167107
75,0.640777,0.593182,0.139856
76,0.641524,0.594808,0.167105
77,0.643017,0.635225,0.190977
78,0.643017,0.595361,0.162990
79,0.644884,0.606820,0.153062
80,0.645258,0.631798,0.192275
81,0.647872,0.642899,0.235236
82,0.648618,0.640998,0.202653
83,0.648618,0.641986,0.254345
84,0.649365,0.572775,0.121451
85,0.650112,0.619090,0.175883
86,0.650485,0.611425,0.209475
87,0.650859,0.636940,0.242798
88,0.651979,0.614156,0.164590
89,0.651979,0.642703,0.239160
90,0.653099,0.641986,0.254502
91,0.653099,0.636996,0.235168
92,0.653473,0.607549,0.176350
93,0.654220,0.565562,0.156341
94,0.654593,0.615412,0.167522
95,0.657207,0.595153,0.152999
96,0.657580,0.642801,0.237528
97,0.657954,0.636283,0.206744
98,0.658327,0.617772,0.175263
