i,target,point,point2,pair
0,0.000000,0.378563,0.276108,0.312037
1,0.003333,0.479584,0.354559,0.428838
2,0.008333,0.415673,0.185193,0.372732
3,0.013333,0.315491,0.034682,0.136901
4,0.013333,0.456665,0.265299,0.356127
5,0.015000,0.525700,0.502523,0.569051
6,0.016667,0.429053,0.277494,0.231203
7,0.023333,0.342605,0.081352,0.177320
8,0.026667,0.426560,0.276919,0.317659
9,0.028333,0.482248,0.291296,0.388187
10,0.031667,0.500671,0.255578,0.430910
11,0.035000,0.479345,0.577106,0.492837
12,0.036667,0.415870,0.283824,0.414605
13,0.038333,0.524189,0.284300,0.448290
14,0.041667,0.356224,0.196091,0.287593
15,0.050000,0.390584,0.293230,0.315715
16,0.050000,0.489677,0.270933,0.456076
17,0.053333,0.464703,0.398260,0.444982
18,0.055000,0.457501,0.345070,0.454453
19,0.055000,0.452809,0.118204,0.352702
20,0.058333,0.461521,0.207738,0.377020
21,0.066667,0.463927,0.215511,0.434751
22,0.066667,0.399652,0.246680,0.350348
23,0.070000,0.385519,0.087293,0.300714
24,0.070000,0.557386,0.389239,0.503145
25,0.070000,0.455413,0.277494,0.422601
26,0.070000,0.440412,0.111303,0.348335
27,0.073333,0.378286,0.087228,0.274810
28,0.076667,0.457107,0.349847,0.467375
29,0.078333,0.467170,0.397923,0.537491
30,0.080000,0.440252,0.351022,0.395250
31,0.080000,0.442950,0.303714,0.409841
32,0.081667,0.505421,0.502593,0.448793
33,0.083333,0.386989,0.283370,0.360189
34,0.085000,0.657258,0.427719,0.712057
35,0.086667,0.576896,0.602737,0.414181
36,0.086667,0.458760,0.356069,0.477099
37,0.086667,0.689325,0.484073,0.803570
38,0.088333,0.467747,0.118136,0.369975
39,0.090000,0.423106,0.311516,0.397970
40,0.090000,0.400994,0.380036,0.263331
41,0.090000,0.552541,0.223128,0.497140
42,0.091667,0.400402,0.421876,0.468924
43,0.093333,0.442744,0.313995,0.374615
44,0.093333,0.306765,0.120151,0.192820
45,0.095000,0.477293,0.334277,0.437281
46,0.096667,0.445023,0.124047,0.366137
47,0.096667,0.431843,0.336755,0.420748
48,0.096667,0.419688,0.419726,0.385022
49,0.098333,0.641945,0.908033,0.679338
50,0.100000,0.376798,0.320601,0.338693
51,0.101667,0.544321,0.468041,0.609007
52,0.103333,0.657389,0.460370,0.719071
53,0.103333,0.668412,0.923656,0.726124
54,0.105000,0.475237,0.359445,0.465584
55,0.105000,0.440225,0.177149,0.395600
56,0.105000,0.418270,0.310459,0.446743
57,0.105000,0.451245,0.374954,0.397158
58,0.105000,0.635146,0.435245,0.617017
59,0.110000,0.465043,0.279607,0.487366
60,0.110000,0.570835,0.548441,0.422312
61,0.110000,0.525521,0.369588,0.442231
62,0.110000,0.381917,0.267518,0.298465
63,0.111667,0.403739,0.240806,0.346112
64,0.113333,0.506920,0.388006,0.438330
65,0.113333,0.466598,0.393173,0.523407
66,0.113333,0.566613,0.247129,0.525685
67,0.115000,0.510185,0.392568,0.498019
68,0.116667,0.492964,0.387799,0.481219
69,0.116667,0.465049,0.289271,0.371815
70,0.118333,0.659467,0.448879,0.709836
71,0.120000,0.334094,0.081291,0.150635
72,0.120000,0.428056,0.309784,0.395973
73,0.123333,0.319116,0.211567,0.173530
74,0.125000,0.429034,0.320620,0.435425
75,0.128333,0.460517,0.293831,0.440522
76,0.130000,0.423245,0.335826,0.347578
77,0.131667,0.384132,0.193953,0.339258
78,0.131667,0.536941,0.446543,0.526645
79,0.133333,0.628349,0.502922,0.595379
80,0.133333,0.378519,0.222156,0.278165
81,0.133333,0.310315,0.052299,0.123181
82,0.135000,0.441436,0.294652,0.418326
83,0.135000,0.677267,0.828955,0.799954
84,0.140000,0.477778,0.603323,0.489775
85,0.140000,0.477635,0.382899,0.464634
86,0.141667,0.529614,0.375307,0.597237
87,0.141667,0.431010,0.330827,0.407079
88,0.141667,0.470448,0.299457,0.419818
89,0.145000,0.535173,0.535831,0.620322
90,0.146667,0.666856,0.453484,0.733652
91,0.150000,0.313016,0.064520,0.150722
92,0.151667,0.512107,0.410366,0.507502
93,0.153333,0.364873,0.319345,0.243812
94,0.153333,0.425335,0.240927,0.350912
95,0.153333,0.411438,0.212527,0.354067
96,0.155000,0.392897,0.055797,0.258376
97,0.156667,0.449532,0.307362,0.377002
98,0.158333,0.461971,0.328146,0.454060
99,0.158333,0.467576,0.407425,0.552380
100,0.160000,0.541199,0.459081,0.550766
101,0.160000,0.471013,0.250730,0.437514
102,0.160000,0.626021,0.564257,0.632720
103,0.161667,0.476245,0.418803,0.486696
104,0.163333,0.479505,0.396776,0.505440
105,0.165000,0.454418,0.359470,0.430559
106,0.165000,0.529787,0.356471,0.467415
107,0.165000,0.464329,0.406109,0.554885
108,0.165000,0.448076,0.250960,0.412494
109,0.165000,0.483651,0.370474,0.411982
110,0.166667,0.504270,0.379806,0.459964
111,0.168333,0.586518,0.362933,0.603760
112,0.168333,0.385201,0.398383,0.283309
113,0.168333,0.538668,0.343137,0.441235
114,0.168333,0.607715,0.539119,0.622451
115,0.170000,0.568609,0.509355,0.671454
116,0.170000,0.528184,0.401503,0.411776
117,0.175000,0.479965,0.404336,0.474511
118,0.175000,0.509572,0.323269,0.368568
119,0.175000,0.471857,0.390020,0.507575
120,0.176667,0.409543,0.253752,0.339915
121,0.178333,0.432267,0.348443,0.435501
122,0.180000,0.568603,0.544184,0.665714
123,0.180000,0.384717,0.133509,0.290134
124,0.180000,0.466166,0.343772,0.462805
125,0.181667,0.508993,0.415272,0.508831
126,0.181667,0.413700,0.246137,0.317461
127,0.183333,0.472578,0.225448,0.248536
128,0.183333,0.409486,0.222113,0.324230
129,0.183333,0.499617,0.449925,0.505116
130,0.186667,0.505675,0.460946,0.610908
131,0.186667,0.520369,0.509051,0.370411
132,0.188333,0.478336,0.257414,0.376709
133,0.191667,0.561588,0.277377,0.504530
134,0.191667,0.459734,0.360535,0.487399
135,0.193333,0.573000,0.420549,0.550336
136,0.195000,0.364485,0.349073,0.289112
137,0.198333,0.567155,0.523522,0.644377
138,0.198333,0.431047,0.323103,0.378376
139,0.200000,0.476320,0.430657,0.569550
140,0.200000,0.381552,0.240645,0.291511
141,0.200000,0.403339,0.246416,0.319802
142,0.201667,0.461174,0.381601,0.474836
143,0.203333,0.433792,0.271735,0.341902
144,0.203333,0.474578,0.285996,0.431693
145,0.205000,0.346963,0.121788,0.197526
146,0.205000,0.571132,0.551607,0.700920
147,0.205000,0.422005,0.342562,0.327099
148,0.205000,0.413225,0.292774,0.332052
149,0.206667,0.479459,0.450237,0.580453
150,0.208333,0.505884,0.509963,0.604914
151,0.208333,0.462427,0.335475,0.465934
152,0.208333,0.539764,0.329939,0.529781
153,0.208333,0.673293,0.665406,0.757102
154,0.213333,0.554987,0.295121,0.519643
155,0.213333,0.533113,0.339404,0.491255
156,0.213333,0.572875,0.528264,0.669254
157,0.215000,0.632362,0.618199,0.614338
158,0.215000,0.479958,0.355475,0.441648
159,0.216667,0.506119,0.365704,0.483948
160,0.216667,0.653260,0.706674,0.729485
161,0.216667,0.463243,0.343030,0.387229
162,0.220000,0.555586,0.336233,0.562267
163,0.223333,0.529731,0.451791,0.564703
164,0.223333,0.623218,0.389522,0.626476
165,0.223333,0.527817,0.483586,0.597126
